Nº Servei,DATA,HORA,X,Y,NOM_FOC,REGIO,SUPERFÍCIE (HA),Observacions
13/23/11809,06/09/2013,17:51:00,434117,4625141,Centelles,REC,"0,0000",
13/23/11807,06/09/2013,17:02:00,424143,4632041,Moià,REC,"0,0000",
13/23/11804,06/09/2013,16:49:00,416241,4627365,Calders,REC,"0,0000",
13/23/11801,06/09/2013,16:34:00,393076,4613012,Castellfollit del Boix,REC,"0,0000",
13/23/11799,06/09/2013,16:31:00,411188,4613012,Pont de Vilomara i Rocafort,REC,"0,0000",
13/23/11153,22/08/2013,19:33:00,397120,4695917,Talltendre-La Bastida,REC,"0,0000",; ; BELL+50.11; 
13/23/10880,16/08/2013,18:09:00,363835,4649771,Pinell de solsonès,REC,"0,0000","Consell comarcal avisa de caiguada llamp, tan sols s'enten la olor de fum; ; ; sant llorenç i epaf solsona; "
13/23/10740,14/08/2013,8:48:00,431222,4628000,Moià,REC,"0,0000",; ; ; moià; 
13/23/09914,29/07/2013,12:23:00,450604,4643956,Vilanova de Sau,REC,"0,0000",; ; ; el troben; 
13/23/09910,29/07/2013,12:27:00,397744,4593830,Oristà,REC,"0,0000",; ; ; el troben; 
13/23/09906,29/07/2013,11:24:00,407196,4638471,Balsareny,REC,"0,0000",; ; ; el troben; 
13/23/09896,29/07/2013,8:07:00,396966,4593849,Sallent,REC,"0,0000",; ; ; el troben; 
13/23/09890,29/07/2013,2:04:00,400679,4624929,Snt. Joan de Vilatorrada,REC,"0,0000",Llamp que ha encès bales de palla sobre el sembrat; ; ; ; 
13/23/09561,22/07/2013,16:25:00,397815,4630554,Suria,REC,"0,0000",; ; ; ADF; 30AX23
13/23/09554,22/07/2013,18:15:00,413809,4644027,Gaià,REC,"0,0000",
13/23/09451,20/07/2013,19:51:00,414855,4629126,Artés,REC,"0,0000",; ; ; ; 33AY-05
13/23/09385,19/07/2013,20:25:00,439254,4633472,Seva,REC,"0,0000",crema en somort; ; ; ; 
13/23/09274,17/07/2013,23:43:00,420075,4636246,Santa Maria d'Olo,REC,"0,0000",; ; ; han actuat ADFs; 
13/23/09265,17/07/2013,17:53:00,420331,4636623,Santa Maria d'Olo,REC,"0,0000",al costat camp futbol; ; ; han actuat ADFs; 35AW-16
13/23/09093,13/07/2013,16:37:00,365853,4661169,Odèn,RELL,"0,0000",baixa intensitat; ; ; graf lleida helitransportat; 24SR-16
13/23/09066,13/07/2013,21:59:00,397570,4645222,Viver i Serrateix,REC,"0,0000",; ; ; ; 30AU-23
13/23/09065,13/07/2013,21:24:00,390334,4646480,Montmajor,REC,"0,0000",; ; ; ; 29AU-16
13/23/09058,13/07/2013,19:27:00,375915,4647608,Olius,REC,"0,0000",rencs de palla. Poca cosa; ; ; ; 26AU-11
13/23/09056,13/07/2013,19:10:00,407283,4654368,Gironella,REC,"0,0000",; ; ; ; 32AT-03
13/23/08963,11/07/2013,15:46:00,391264,4609739,Castellfollit del Boix,REC,"0,0000",sotabosc; ; ; ; 29BC02
13/23/08961,11/07/2013,15:30:00,404834,4610290,Castellbell i el Vilar,REC,"0,0000",; ; ; ; 31BB-25
13/0411023,08/08/2013,10:37:00,329805,4560435,Riudecols,RET,"0,0000",; ; ; FALS03; 16BL25
13/0310548,16/08/2013,17:49:00,321676,4712960,"Vall de Boí, La",RELL,"0,0000","Vall de Boí, 0.50.32 i 3.25.90 (pont de suert); ; ; pont de suert; "
12/26/06544,23/08/2013,13:19:00,263914,4512666,La sénia,RETE,"0,0000",foc del dia enterior; ; ; ; 03BV-10
12/26/05910,28/07/2012,20:18:00,291100,4520925,Tortosa,RETE,"0,0000",
12/26/05141,05/07/2012,18:04:00,294200,4564954,Flix,RETE,"0,0030",- - -  73032
12/25/20891,07/08/2012,10:41:00,421783,4614671,Caldes de Montbui,REMN,"0,0000",
12/24/15296,05/07/2012,14:56:00,376679,4610671,Copons,REMS,"0,0000",- - -  51191
12/23/12961,08/09/2012,18:55:00,429086,4645698,Sant Bartomeu del Grau,REC,"0,0003","Ha cremat un arbre i em2 de massa forestal- - - 11434, 12134, 11130 "
12/23/12607,31/08/2012,18:29:00,387074,4676633,Gósol,REC,"0,0025",- 28AO18- 28AO18-  
12/23/12495,30/08/2012,10:06:00,393957,4681356,Saldes,REC,"0,2000",
12/23/11236,06/08/2012,17:40:00,369556,4642032,Peracamps,REC,"0,0000",
12/23/09563,05/07/2012,15:51:00,391966,4646301,Cardona-Montmajor,REC,"0,0000",- - -  Apagat
12/23/09556,05/07/2012,15:09:00,402877,4628689,Castellnou de Bages,REC,"0,0000",- - -  Plou
12/23/09552,05/07/2012,14:36:00,391890,4645901,Cardona- Gargallà,REC,"0,0000",- - -  5012
12/23/09549,05/07/2012,14:15:00,395062,4653772,Montmajor,REC,"0,0000",- - -  11630
12/23/09548,05/07/2012,14:09:00,394197,4646034,Montmajor,REC,"0,0000",- - -  10530
202603269,06/062020,20:30:00,295376,4560847,Ascó,RETE,"0,0025",
202517976,29/05/2020,18:43:00,444140,4598476,Vilassar de Dalt,REMN,"0,0000",
200408255,05/06/2020,14:52:00,350125,4581515,Montblanc,RETE,"0,1000",
192606843,27/08/2019,18:35:00,308536,4533844,Ametlla de Mar,RETE,"0,0004",
192605720,26/07/2019,16:32:00,276231,4545477,Bot ,RETE,"0,0322",
192605718,26/07/2019,16:07:00,283058,4549972,Gandesa,RETE,"0,0600",
192605716,26/07/2019,15:34:00,287033,4541864,Pinell de Brai,RETE,"0,0400",
192605714,26/07/2019,14:48:00,306619,4550191,Tivissa,RETE,"0,0005",
192605373,17/07/2019,15:30:00,250543,4519712,Tortosa,RETE,"0,1000",
192605261,14/07/2019,16:29:00,295401,4554108,Móra d'Ebre,RETE,"0,0100",
192604982,06/07/2019,21:33:00,282425,4530706,Alfarà de Carles,RETE,"0,0000",
192604980,06/07/2019,20:08:00,303560,4535259,Tivissa,RETE,"0,0030",
192604978,06/07/2019,19:44:00,293789,4535068,Tivenys,RETE,"0,0100",
192603950,06/06/2019,20:51:00,288294,4494595,Ulldecona,RETE,"0,0250",
192522649,18/07/2019,19:30:00,427900,4590324,Collserola,REMN,"0,0010",
192521859,14/07/2019,15:04:00,445039,4593708,Premià de Dalt,REMN,"0,0000",
192521857,14/07/2019,14:49:00,446407,4596955,Vilassar de Dalt,REMN,"0,0000",
192420812,13/08/2019,14:20:00,399961,4570015,Sant Pere de Ribes,REMS,"0,0000",
192416734,09/07/2019,15:34:00,406321,4596712,Arbrera,REMS,"0,0010",
192416481,07/07/2019,13:02:00,373856,4605870,Argençola,REMS,"0,0250",
192312204,14/09/2019,13:06:00,419838,4680275,Castellar de n'Hug,REC,"0,0100",
192312022,10/09/2019,1:55:00,408434,4627238,Sallent,REC,"0,0000",
192308785,08/07/2019,10:13:00,390266,4624391,Fonollosa,REC,"0,0010",
192308685,06/07/2019,21:14:00,392312,4612275,Castellfollit del Boix,REC,"0,0050",
192308548,04/07/2019,16:08:00,418703,4661121,Borredà,REC,"0,4000",
192308500,03/07/2019,19:03:00,370656,4647996,Castellar de la Ribera,REC,"0,0002",soca
192308497,03/07/2019,18:20:00,380850,4647583,Olius,REC,"0,0020",
192308496,03/07/2019,18:10:00,393108,4638314,Cardona,REC,"0,0000",
192308494,03/07/2019,17:37:00,400052,4650821,Montclar,REC,"0,0002",soca
190414541,12/08/2019,7:07:00,352761,4597930,Conesa,RET,"3,4200",
190413132,26/07/2019,17:28:00,320499,459712,Pratdip,RETE,"0,0972",
190411692,08/07/2019,15:55:00,358697,4601038,Savallà del Comtat,RET,"0,0200",
190411539,06/07/2019,20:55:00,376591,4598124,Santa Maria de Miralles,REMS,"0,0000",
190312630,30/08/2019,17:04:00,310503,4648215,Àger,RELL,"0,0010",
190310839,28/07/2019,18:03:00,317912,4718857,Senet,RELL,"0,0005",
190309490,05/07/2019,12:46:00,358812,4722347,Lladorre,RELL,"0,0000",
190224289,02/09/2019,9:14:00,498071,4650491,La Pera,REG,"0,0000",
190221919,13/08/2019,12:27:00,476279,4642082,Bescanó,REG,"0,0050",
190221766,12/08/2019,10:54:00,485009,4692210,Darnius,REG,"0,0200",
190221734,12/08/2019,7:10:00,513521,4685953,El Port de la Selva,REG,"0,0000",
190219823,27/07/2019,13:15:00,507026,4690539,Vilamaniscle,REG,"0,0000",
190219753,26/07/2019,20:30:00,483042,4685107,Sant Llorenç de la Muga,REG,"0,0000",
190217411,07/07/2019,14:49:00,481660,4687144,Sant Llorenç de la Muga,REG,"0,0000",
190216092,27/06/2019,14:29:00,428150,4676690,Campdevànol,REG,"0,1800",
182607505,07/09/2018,15:08:00,268246,4549690,Caseres,RETE,"0,0005",
182607179,28/08/2018,16:12:00,294097,4526181,Bítem,RETE,"0,0020",
182606622,11/08/2018,18:46:00,282848,4514570,Roquetes,RETE,"0,0000",
182606545,09/08/2018,18:42:00,289831,4491475,Alcanar,RETE,"0,0000",
182606535,09/08/2018,16:24:00,283919,4497174,Ulldecona,RETE,"0,1500",
182605870,20/07/2018,21:58:00,291327,4542292,Pinell de Brai,RETE,"0,0010",
182605608,13/07/2018,12:28:00,312976,4543259,Tivissa,RETE,"0,9000",
182605434,10/07/2018,17:13:00,294480,4528359,Bítem,RETE,"0,0300",
182528898,12/09/2018,18:37:00,422802,4598329,Sant Quirze del Vallès,REMN,"0,0000",
182528889,12/09/2018,18:20:00,415605,4599733,Terrassa,REMN,"0,0000",
182526499,23/08/2018,19:30:00,453024,4607016,Dosrius,REMN,"0,0000",
182525684,17/08/2018,14:31:00,436561,4590966,Badalona,REMN,"4,0000",repren i desperta altre cop al dia següent originant foc forestal de 4 ha
182525469,16/08/2018,17:55:00,429345,4598815,Santa Perpètua de Mogoda,REMN,"0,0000",
182524670,09/08/2018,17:01:00,447311,4596356,Vilassar de Dalt,REMN,"0,0000",
182424582,12/09/2018,18:48:00,404879,4588518,Gelida,REMS,"0,0000",
