ID,DATE,PEAK_CURRENT,CHI_SQUARED,NUMBER_OF_SENSORS,HIT_GROUND,DISCHARGES,LAND_COVER,REL_HUMIDITY,AVG_REL_HUMIDITY_1_DAY,AVG_REL_HUMIDITY_3_DAY,AVG_REL_HUMIDITY_5_DAY,AVG_REL_HUMIDITY_10_DAY,AVG_REL_HUMIDITY_15_DAY,TEMPERATURE,AVG_TEMPERATURE_1_DAY,AVG_TEMPERATURE_3_DAY,AVG_TEMPERATURE_5_DAY,AVG_TEMPERATURE_10_DAY,AVG_TEMPERATURE_15_DAY,RAIN,SUM_RAIN_1_DAY,SUM_RAIN_3_DAY,SUM_RAIN_5_DAY,SUM_RAIN_10_DAY,SUM_RAIN_15_DAY,SOLAR_IRRADIANCE,SUM_SOLAR_IRRADIANCE_1_DAY,SUM_SOLAR_IRRADIANCE_3_DAY,SUM_SOLAR_IRRADIANCE_5_DAY,SUM_SOLAR_IRRADIANCE_10_DAY,SUM_SOLAR_IRRADIANCE_15_DAY,WIND,SUM_WIND_1_DAY,SUM_WIND_3_DAY,SUM_WIND_5_DAY,SUM_WIND_10_DAY,SUM_WIND_15_DAY
1832924,2017-08-15T17:35:58.751709Z,3.145,8.4,2,True,1,224,93.0,53.541666666666664,57.5625,58.795833333333334,61.59791666666667,58.44583333333333,19.5,22.795833333333334,22.80624999999999,21.466666666666683,21.955624999999994,23.89652777777775,2.7,6.7,6.7,6.7,14.5,15.2,105.0,12835.0,43334.0,71725.0,130056.0,194890.0,2.0,90.3,299.9,538.0000000000001,1140.6000000000001,1664.9999999999989
1832705,2017-08-15T16:54:44.513177Z,-5.772,0.3,2,True,1,221,65.0,51.083333333333336,60.5,65.40416666666667,68.625,62.75972222222222,23.3,22.012500000000003,21.512500000000003,19.67416666666667,19.99895833333333,22.14027777777778,1.0,1.0,1.0,1.7,9.299999999999997,11.499999999999996,50.0,12175.0,42562.0,69426.0,124245.0,189903.0,,,,,,
1838636,2017-08-24T00:57:55.129561Z,-10.693,1.2,3,True,2,221,38.0,50.479166666666664,48.75694444444444,49.925,49.49791666666667,50.954166666666666,20.9,21.04791666666667,21.136805555555554,20.019166666666685,20.541875000000008,18.58222222222223,0.9,0.9,0.9,0.9,1.4,1.7999999999999998,0.0,10432.0,39910.0,64830.0,127409.0,190588.0,3.0,81.69999999999999,248.2,430.70000000000016,999.9999999999997,1852.9000000000017
1838462,2017-08-24T00:27:38.565810Z,-10.545,1.6,3,True,1,225,85.0,71.4375,66.49305555555556,60.2125,61.420833333333334,57.93194444444445,21.9,23.797916666666666,24.4263888888889,24.051666666666655,24.56270833333332,23.06361111111113,0.2,2.0,2.2,2.2,2.5,2.5,0.0,10528.0,39361.0,67616.0,132619.0,199466.0,,,,,,
1840286,2017-08-26T17:49:24.581667Z,-28.1755,0.6,3,True,5,111,60.0,57.645833333333336,59.458333333333336,62.09583333333333,61.385416666666664,61.77916666666667,27.7,25.268749999999997,25.17708333333334,25.09541666666666,24.694375000000004,24.062777777777757,0.0,0.0,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,2.0,10263.0,33828.0,60560.0,132058.0,203847.0,,,,,,
1849381,2017-08-31T10:30:40.470568Z,-8.695,5.9,2,True,2,221,93.0,74.72916666666667,68.04861111111111,72.99166666666666,73.79375,72.82916666666667,19.9,23.256250000000005,25.21874999999998,25.109583333333326,24.7372916666667,24.788055555555577,1.7,3.7,4.4,4.4,5.0,5.0,15.0,7232.0,25173.0,46124.0,105845.0,165640.0,1.0,92.1,303.9,469.0,941.6999999999995,1383.1999999999994
1869677,2017-09-06T20:08:11.970283Z,-5.365,1.8,2,True,1,221,97.0,78.70833333333333,75.78472222222223,67.9875,67.86458333333333,63.36944444444445,18.4,21.96666666666667,21.408333333333346,20.363333333333344,21.069166666666657,22.368611111111115,1.7,4.9,6.3,6.3,17.399999999999995,17.899999999999995,0.0,9800.0,31887.0,56031.0,101818.0,164282.0,1.8,105.5,262.0,484.69999999999993,1014.3000000000003,1515.000000000001
1885301,2017-09-09T18:28:26.246947Z,4.625,1.4,2,True,1,232,98.0,77.4375,71.65972222222223,72.48333333333333,67.46875,63.56111111111111,14.2,14.983333333333334,16.87569444444444,18.919583333333335,19.00270833333333,21.09208333333334,1.3,7.3999999999999995,7.3999999999999995,19.6,20.1,21.1,1.0,2464.0,26378.0,49375.0,97806.0,146588.0,,,,,,
1958319,2017-11-04T16:19:02.394265Z,-25.5115,0.8,2,True,5,221,75.0,91.5,89.61805555555556,87.44583333333334,76.19791666666667,71.45,14.2,14.327083333333329,14.697916666666666,13.895000000000003,14.999375000000013,15.248055555555563,0.2,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.4,2.0,3056.0,10711.0,19118.0,57686.0,98055.0,,,,,,
1030048,2018-04-25T13:28:57.425380Z,47.3045,2.9,5,True,1,221,44.0,58.229166666666664,58.65277777777778,59.62083333333333,64.58958333333334,72.67083333333333,23.4,18.65833333333334,17.110416666666666,16.359583333333333,15.076666666666657,12.176527777777777,0.1,0.1,0.1,0.1,0.30000000000000004,55.00000000000003,107.0,13281.0,33496.0,57807.0,112572.0,134250.0,,,,,,
1063225,2018-05-22T14:48:27.007162Z,-26.011,1.4,4,True,2,111,64.0,84.0625,84.88888888888889,82.2625,76.65208333333334,80.5111111111111,21.3,16.206249999999994,15.790972222222232,15.78625,14.719583333333324,15.070416666666652,0.0,2.5,4.000000000000001,9.299999999999999,28.800000000000015,45.70000000000001,335.0,10389.0,33821.0,52692.0,119519.0,164111.0,2.6,52.5,143.5,230.79999999999993,540.3000000000001,777.4999999999998
1101859,2018-06-06T05:03:19.521587Z,-12.3025,0.6,4,True,3,221,85.0,76.8125,82.72916666666667,80.74583333333334,79.32916666666667,76.90277777777777,17.2,20.81666666666667,19.32569444444443,19.684166666666655,19.78458333333335,19.816388888888923,1.2,1.2,18.7,18.7,19.7,19.9,2.0,13568.0,34311.0,64675.0,134931.0,203355.0,4.2,95.20000000000003,241.3,403.29999999999995,848.0999999999997,1336.500000000001
1101967,2018-06-06T05:29:28.739180Z,-22.422,0.1,4,True,1,115,93.0,77.29166666666667,82.25,79.71666666666667,79.0625,75.84305555555555,16.6,20.270833333333332,19.197916666666668,19.79125,19.903333333333332,20.062361111111098,1.1,12.299999999999999,16.1,16.1,24.099999999999998,24.099999999999998,5.0,13187.0,33887.0,63789.0,127197.0,196372.0,3.4,103.5,286.79999999999995,474.39999999999975,947.5000000000007,1586.7000000000028
1135273,2018-07-07T17:18:30.352226Z,-22.9215,0.7,5,True,3,223,95.0,72.89583333333333,70.63888888888889,69.29166666666667,69.78541666666666,64.71527777777777,22.8,22.69583333333333,22.402777777777775,22.86500000000001,22.37833333333332,22.17736111111111,0.8,1.6,4.3999999999999995,4.3999999999999995,7.2,7.2,16.0,13912.0,37242.0,70206.0,142561.0,222318.0,,,,,,
1138457,2018-07-09T15:07:00.609243Z,36.186,0.8,3,True,1,224,87.0,54.520833333333336,61.125,55.916666666666664,60.135416666666664,62.9,24.2,27.787499999999998,27.167361111111116,27.069166666666668,26.814791666666665,26.30097222222224,3.4,3.4,3.4,3.4,3.4,3.8,501.0,12337.0,43685.0,74433.0,153438.0,218519.0,,,,,,
1139597,2018-07-09T20:34:59.499058Z,-16.5575,2.9,2,True,1,111,99.0,55.083333333333336,58.06944444444444,61.28333333333333,60.6375,64.69166666666666,19.4,24.070833333333336,23.554861111111112,22.235833333333325,22.323333333333345,21.834027777777774,3.8,4.3,4.3,4.3,4.3,9.5,0.0,14714.0,45246.0,78773.0,157192.0,231198.0,3.9,153.6,437.5,772.0999999999999,1607.7000000000007,2371.2
